date,open,high,low,close,volume
2021-04-15,23.85,24.29,23.12,23.14,5532047
2021-04-18,22.88,23.46,22.81,23.29,2695908
2021-04-19,23.14,23.29,22.87,23.08,6381270
2021-04-20,22.85,23.08,22.40,22.52,5816641
2021-04-21,22.53,22.71,22.15,22.64,2777541
2021-04-22,22.91,23.44,22.76,23.09,6248282
2021-04-25,22.79,22.88,22.22,22.47,6454995
2021-04-26,22.41,22.62,21.36,21.77,5924999
2021-04-27,22.00,22.38,21.55,21.62,5134301
2021-04-28,21.64,22.02,21.18,21.60,7251096
2021-04-29,21.58,21.94,21.30,21.81,5901092
2021-05-02,21.68,21.83,21.04,21.38,3509105
2021-05-03,21.41,21.68,20.90,21.22,5271753
2021-05-04,21.28,21.54,21.15,21.29,7601893
2021-05-05,21.36,21.48,20.60,20.88,7435441
2021-05-06,20.65,21.02,20.09,20.15,2352287
2021-05-09,19.85,20.49,19.70,20.10,2249814
2021-05-10,20.18,20.53,20.02,20.23,2351124
2021-05-11,20.23,20.64,19.90,20.61,7227077
2021-05-12,20.91,21.23,20.10,20.44,5004887
2021-05-13,20.55,20.81,19.75,20.14,4354424
2021-05-16,19.97,20.35,19.46,19.73,7658634
2021-05-17,19.82,19.97,19.72,19.88,3702661
2021-05-18,19.75,20.29,19.41,20.25,5402672
2021-05-19,20.36,20.55,20.03,20.07,6065453
2021-05-20,19.81,20.60,19.75,20.25,2491920
2021-05-23,20.44,20.76,20.22,20.63,3903458
2021-05-24,20.60,21.01,20.28,20.30,4834531
2021-05-25,20.56,20.86,20.28,20.81,5151655
2021-05-26,20.84,21.04,20.35,20.38,2607093
2021-05-27,20.46,21.02,20.09,20.74,4428157
2021-05-30,20.83,21.72,20.47,21.33,6011488
2021-05-31,21.05,21.91,20.98,21.55,5892501
2021-06-01,21.37,22.29,20.99,21.88,7510435
2021-06-02,22.11,22.52,21.97,22.12,5417820
2021-06-03,22.06,22.47,21.88,21.88,7067674
2021-06-06,21.96,22.07,21.47,21.90,5402327
2021-06-07,21.89,22.28,21.31,21.64,4624358
2021-06-08,21.72,21.80,21.03,21.36,4228282
2021-06-09,21.15,21.22,20.79,21.21,5850512
2021-06-10,20.96,21.06,20.04,20.35,5913643
2021-06-13,20.37,20.57,19.41,19.77,2561626
2021-06-14,19.72,20.12,19.39,19.83,3605648
2021-06-15,20.09,20.32,19.31,19.56,3805623
2021-06-16,19.68,20.05,19.60,19.74,4223008
2021-06-17,19.49,20.19,19.18,19.85,3103456
2021-06-20,19.56,19.77,19.28,19.52,7462108
2021-06-21,19.62,19.68,19.49,19.56,4237106
2021-06-22,19.72,19.96,19.12,19.35,3182112
2021-06-23,19.29,19.32,19.01,19.01,3796240
2021-06-24,18.84,19.63,18.77,19.30,7691703
2021-06-27,19.55,19.70,19.03,19.24,3246381
2021-06-28,19.06,19.57,18.99,19.19,2527550
2021-06-29,19.20,19.66,19.15,19.37,3644083
2021-06-30,19.14,19.55,18.84,19.43,2659234
2021-07-01,19.66,19.82,19.05,19.40,6824953
2021-07-04,19.64,19.71,19.40,19.43,7789877
2021-07-05,19.71,19.79,19.45,19.51,4158434
2021-07-06,19.27,19.57,19.18,19.35,2262859
2021-07-07,19.29,19.64,19.10,19.25,6300488
2021-07-08,19.16,19.37,18.40,18.74,4944421
2021-07-11,18.88,19.39,18.71,19.32,4942307
2021-07-12,19.29,19.35,18.81,19.10,6824901
2021-07-13,18.81,19.20,18.52,19.07,3530691
2021-07-14,18.98,19.42,18.87,19.40,5924931
2021-07-15,19.13,19.75,19.03,19.51,6032678
